longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,address
-117.34,34.13,29.0,331.0,85.0,341.0,107.0,0.7069,INLAND,70300.0,"2199, Roosevelt Avenue, San Bernardino, San Bernardino County, California, 92411, United States"
-121.53,38.61,5.0,8149.0,1913.0,2933.0,1616.0,3.6788,INLAND,178800.0,"2599, Orchard Lane, Sacramento, Sacramento County, California, 95833, United States"
-118.27,34.08,38.0,2265.0,801.0,2899.0,792.0,2.5521,<1H OCEAN,157500.0,"Mae Ploy Restaurant, 2606, Sunset Boulevard, Echo Park, Los Angeles, Los Angeles County, California, 90026, United States"
-120.84,38.77,11.0,1013.0,188.0,410.0,158.0,4.825,INLAND,184600.0,"Red Shack Trail, El Dorado County, California, 95667, United States"
-120.38,36.76,12.0,932.0,244.0,1043.0,243.0,1.4038,INLAND,54300.0,"422, Lolita Street, Mendota, Fresno County, California, 93640, United States"
-118.2,33.93,41.0,857.0,201.0,934.0,227.0,2.6339,<1H OCEAN,145700.0,"3739, Le Sage Street, Lynwood, Los Angeles County, California, 90262, United States"
-121.52,38.57,43.0,2360.0,471.0,1041.0,452.0,2.89,INLAND,86200.0,"1505, South River Road, West Sacramento, Yolo County, California, 95691, United States"
-121.09,38.68,15.0,5218.0,711.0,1949.0,659.0,4.7083,INLAND,213300.0,"Mossridge Way, Governors Village, El Dorado County, California, 95762, United States"
-117.54,33.82,6.0,202.0,29.0,75.0,28.0,4.125,INLAND,216700.0,"1734, Keith Street, Corona, Riverside County, California, 92881, United States"
-121.33,37.98,9.0,2370.0,424.0,1129.0,386.0,5.143,INLAND,176500.0,"3944, Crawford Court, Stockton, San Joaquin County, California, 95207, United States"
-119.29,36.53,33.0,1509.0,352.0,1734.0,336.0,1.625,INLAND,50300.0,"12678, Hazel Avenue, Cutler, Tulare County, California, 93615, United States"
-119.83,36.8,24.0,3756.0,681.0,1586.0,739.0,3.8571,INLAND,90100.0,"4571, North Holt Avenue, Fresno, Fresno County, California, 93705, United States"
-118.12,34.09,25.0,3603.0,1003.0,2719.0,913.0,2.6981,<1H OCEAN,208000.0,"Chapel Avenue, Alhambra, Los Angeles County, California, 91802, United States"
-118.31,33.67,42.0,1297.0,246.0,611.0,242.0,5.3074,NEAR OCEAN,401900.0,"Los Angeles, Los Angeles County, California, United States"
-118.24,34.11,50.0,2141.0,451.0,1777.0,426.0,2.7679,<1H OCEAN,178800.0,"2638, West Avenue 31, Los Angeles, Los Angeles County, California, 90065, United States"
-122.27,38.31,44.0,3030.0,589.0,1373.0,582.0,2.9054,NEAR BAY,155200.0,"1712, King Avenue, Napa, Napa County, California, 94559, United States"
-117.62,33.77,43.0,1911.0,439.0,930.0,433.0,4.6369,<1H OCEAN,186400.0,"Orange County, California, United States"
-121.95,37.28,52.0,777.0,148.0,362.0,144.0,4.0208,<1H OCEAN,262500.0,"Winchester Boulevard, Campbell, Santa Clara County, California, 95008, United States"
-117.88,33.87,21.0,1519.0,388.0,1203.0,366.0,3.2083,<1H OCEAN,145300.0,"South Placentia Avenue, Old Town Placentia, Placentia, Orange County, California, 92806, United States"
-117.68,35.63,18.0,4334.0,641.0,1777.0,661.0,6.0653,INLAND,105300.0,"599, Peg Street, Ridgecrest, Kern County, California, 93555, United States"
-121.92,37.3,35.0,1335.0,296.0,635.0,296.0,3.6053,<1H OCEAN,345800.0,"1900, Willow Street, Gardner, Dry Creek, San Jose, Santa Clara County, California, 95125, United States"
-118.85,34.21,29.0,2195.0,414.0,1360.0,401.0,3.4773,<1H OCEAN,206700.0,"Fiore Playfield, 1550, East Avenida de Los Arboles, Thousand Oaks, Ventura County, California, 91360, United States"
-122.21,37.37,34.0,1476.0,217.0,613.0,223.0,8.2883,NEAR OCEAN,500001.0,"18, Saddleback Drive, Portola Valley, San Mateo County, California, 94028, United States"
-122.41,37.6,31.0,4424.0,834.0,1915.0,817.0,4.1364,NEAR OCEAN,412000.0,"655, Helen Drive, Millbrae Meadows, Millbrae, San Mateo County, California, 94030, United States"
-117.59,33.91,7.0,10223.0,1491.0,5205.0,1509.0,5.4872,INLAND,203400.0,"1101, Trenton Avenue, Corona, Riverside County, California, 92878, United States"
-121.86,37.32,13.0,2519.0,581.0,2094.0,530.0,4.3621,<1H OCEAN,173400.0,"History Park at Kelley Park, 635, Phelan Avenue, San Jose, Santa Clara County, California, 95112, United States"
-118.02,33.65,38.0,2548.0,646.0,755.0,399.0,2.8352,NEAR OCEAN,408300.0,"Huntington Beach, Orange County, California, United States"
-122.43,37.71,52.0,1508.0,278.0,1138.0,304.0,4.0234,NEAR BAY,266500.0,"26, Lapham Way, San Francisco, California, 94112, United States"
-118.15,33.97,33.0,1903.0,469.0,1882.0,435.0,2.4071,<1H OCEAN,170500.0,"Department of Motor Vehicles, 6801, Garfield Avenue, Bell Gardens, Los Angeles County, California, 90201, United States"
-122.26,37.88,52.0,2363.0,604.0,1558.0,573.0,2.944,NEAR BAY,338900.0,"1546, Le Roy Avenue, Northside, Berkeley, Alameda County, California, 94708, United States"
-117.02,32.7,22.0,2756.0,516.0,1849.0,486.0,4.1837,NEAR OCEAN,125400.0,"234, Charise Court, Spring Valley, San Diego County, California, 91977, United States"
-118.26,33.94,41.0,1510.0,410.0,1408.0,389.0,1.65,<1H OCEAN,94200.0,"836, East 106th Street, Green Meadows, Watts, Los Angeles, Los Angeles County, California, 90002, United States"
-118.14,34.19,49.0,1678.0,277.0,737.0,287.0,3.7222,INLAND,237000.0,"462, East Mariposa Street, Altadena, Los Angeles County, California, 91001, United States"
-121.36,38.67,5.0,5819.0,1507.0,3237.0,1356.0,2.2339,INLAND,116600.0,"Hillsdale Blvd Revekstok D Alley, Walerga, Sacramento County, California, 95841, United States"
-119.9,36.94,11.0,2513.0,408.0,1360.0,415.0,4.277,INLAND,98500.0,"35672, Avenue 13 1/4, Madera County, California, 93636, United States"
-121.85,38.0,26.0,3364.0,570.0,1806.0,566.0,4.2647,INLAND,133400.0,"Delta De Anza Regional Trail, Antioch, Contra Costa County, California, 94565, United States"
-120.85,37.06,31.0,2609.0,645.0,1796.0,629.0,1.5479,INLAND,82000.0,"525, J Street, Los Banos, Merced County, California, 93635, United States"
-119.81,36.71,25.0,1026.0,221.0,789.0,183.0,1.5625,INLAND,52800.0,"Prayer of Power Ministries, East Grove Avenue, Fresno, Fresno County, California, 93721, United States"
-118.21,34.08,26.0,2574.0,807.0,3163.0,802.0,1.9495,<1H OCEAN,173200.0,"2928, Johnston Street, Lincoln Heights, Los Angeles, Los Angeles County, California, 90031, United States"
-121.65,39.13,11.0,4833.0,944.0,2336.0,841.0,2.6842,INLAND,89100.0,"1869, Hardial Drive, Yuba City, Sutter County, California, 95993, United States"
-119.74,34.44,26.0,4257.0,1031.0,1861.0,950.0,3.4047,NEAR OCEAN,294500.0,"15, South Ontare Road, Santa Barbara, Santa Barbara County, California, 93105, United States"
-122.03,37.39,22.0,3280.0,933.0,1842.0,795.0,4.4107,<1H OCEAN,232700.0,"516, North Mathilda Avenue, Sunnyvale, Santa Clara County, California, 94085, United States"
-117.69,33.48,25.0,3240.0,481.0,1462.0,497.0,6.1815,<1H OCEAN,288500.0,"33231, Marina Vista Drive, Dana Point, Orange County, California, 92629, United States"
-122.04,37.36,26.0,3298.0,460.0,1241.0,472.0,6.8753,<1H OCEAN,403000.0,"666, Princeton Drive, Sunnyvale, Santa Clara County, California, 94087, United States"
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,NEAR BAY,261100.0,"5401, Bryant Avenue, Rockridge, North Oakland, Oakland, Alameda County, California, 94168, United States"
-118.43,34.22,34.0,1588.0,360.0,1080.0,340.0,3.66,<1H OCEAN,184600.0,"Kaiser Permanente Panorama City Medical Center, 13651, Willard Street, Panorama City, Panorama City Neighborhood Council District, Los Angeles, Los Angeles County, California, 91402, United States"
-118.27,34.02,40.0,561.0,284.0,662.0,205.0,0.9234,<1H OCEAN,187500.0,"Dolores Huerta Elementary School, Maple Avenue, Jefferson, Historic South-Central, Los Angeles, Los Angeles County, California, 90011, United States"
-118.04,33.71,12.0,4014.0,868.0,1605.0,769.0,6.0102,<1H OCEAN,396900.0,"Bolsa Chica Street, Huntington Beach, Orange County, California, 92649, United States"
-121.91,37.29,18.0,3597.0,664.0,1321.0,593.0,5.3077,<1H OCEAN,351400.0,"Atria Willow Glen, 1660, Gaton Drive, Dry Creek Village, Dry Creek, San Jose, Santa Clara County, California, 95125, United States"
-124.0,40.22,16.0,2088.0,535.0,816.0,326.0,1.319,<1H OCEAN,70700.0,"Humboldt County, California, United States"
-117.82,33.68,3.0,7105.0,1459.0,3068.0,1241.0,6.1395,<1H OCEAN,358000.0,"Paseo Westpark, Westpark, Irvine, Orange County, California, 92614, United States"
-123.98,40.88,41.0,1719.0,372.0,844.0,336.0,2.6923,<1H OCEAN,84200.0,"127, Acacia Drive, Blue Lake, Humboldt County, California, 95525, United States"
-121.99,37.26,17.0,4034.0,611.0,1158.0,560.0,8.2069,<1H OCEAN,442500.0,"Casitas Bulevar, Los Gatos, Santa Clara County, California, 95070, United States"
-120.6,37.36,27.0,2521.0,484.0,1307.0,456.0,3.0911,INLAND,86900.0,"Guarantee Savings & Loan, 700, Bellevue Road, Atwater, Merced County, California, 95301, United States"
-118.31,33.95,43.0,1823.0,358.0,1065.0,342.0,3.2708,<1H OCEAN,131000.0,"9486, South Manhattan Place, Gramercy Park, Los Angeles, Los Angeles County, California, 90047, United States"
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,NEAR OCEAN,165100.0,"2360, Webster Avenue, Long Beach, Los Angeles County, California, 90810, United States"
-122.05,37.93,15.0,7803.0,1603.0,2957.0,1546.0,4.45,NEAR BAY,184900.0,"2955, Cherry Lane, Avalon Walnut Ridge, Bancroft, Contra Costa Centre, Contra Costa County, California, 94597, United States"
-121.64,36.68,16.0,6568.0,1603.0,6012.0,1565.0,2.3463,<1H OCEAN,156100.0,"Mobray Way, Sherwood Lakes Mobile Home Park, Salinas, Monterey County, California, 93905, United States"
-117.75,34.05,35.0,1293.0,339.0,1494.0,312.0,1.6645,INLAND,93300.0,"1067, South Garey Avenue, Pomona, Los Angeles County, California, 91766, United States"
-117.25,33.21,9.0,1944.0,488.0,1992.0,453.0,2.066,<1H OCEAN,127200.0,"412, Pollyanna Terrace, Vista, San Diego County, California, 92083, United States"
-118.29,34.17,52.0,1732.0,305.0,875.0,311.0,4.325,<1H OCEAN,292600.0,"1081, Winchester Avenue, Glendale, Los Angeles County, California, 91201, United States"
-122.7,38.36,11.0,5817.0,878.0,2538.0,876.0,4.221,<1H OCEAN,227100.0,"Foxtail Golf Club, 100, Golf Course Drive, Wilfred, Rohnert Park, Sonoma County, California, 94928, United States"
-121.49,38.58,52.0,2151.0,664.0,1146.0,603.0,1.4034,INLAND,90300.0,"Improv Alley, Mansion Flats, Downtown, Sacramento, Sacramento County, California, 95814, United States"
-122.04,36.97,30.0,2695.0,424.0,1098.0,420.0,5.3972,NEAR OCEAN,362300.0,"330, Van Ness Avenue, King Street, Westside, Santa Cruz, Santa Cruz County, California, 95060, United States"
-122.28,37.9,52.0,2261.0,328.0,819.0,335.0,4.9083,NEAR BAY,346800.0,"500, The Alameda, Thousand Oaks, Berkeley, Alameda County, California, 94707, United States"
-118.85,34.17,42.0,564.0,96.0,220.0,81.0,4.5625,<1H OCEAN,318800.0,"Conejo Ridge Open Space, Rimrock Road, Ventura County, California, 91360, United States"
-122.02,37.53,21.0,4280.0,673.0,2216.0,681.0,5.7072,NEAR BAY,242200.0,"6147, Robertson Avenue, Newark, Alameda County, California, 94560, United States"
-121.47,38.61,31.0,1072.0,,781.0,281.0,1.6563,INLAND,65800.0,"304, Cleveland Avenue, River Gardens, Gardenland, Sacramento, Sacramento County, California, 95833, United States"
-117.72,33.51,17.0,3617.0,597.0,1176.0,571.0,5.133,<1H OCEAN,324000.0,"Laguna Woods Drive, Laguna Niguel, Orange County, California, 92607, United States"
-117.31,34.35,9.0,2404.0,390.0,1074.0,359.0,5.0198,INLAND,151900.0,"Hesperia, San Bernardino County, California, United States"
-121.38,38.69,35.0,2943.0,554.0,1460.0,510.0,2.6713,INLAND,84400.0,"Elkhorn Boulevard, North Highlands, Sacramento County, California, 95660, United States"
-117.17,32.77,6.0,3856.0,875.0,1547.0,816.0,4.5481,NEAR OCEAN,164800.0,"7020, Friars Road, San Diego, San Diego County, California, 92108, United States"
-119.12,35.39,13.0,1264.0,202.0,552.0,187.0,4.5903,INLAND,94300.0,"10669, Meacham Road, Bakersfield, Kern County, California, 93312, United States"
-117.88,33.84,31.0,3301.0,712.0,1532.0,682.0,3.7303,<1H OCEAN,223800.0,"130, South Sunkist Street, Anaheim, Orange County, California, 92806, United States"
-121.2,39.25,5.0,906.0,144.0,376.0,141.0,4.3523,INLAND,188200.0,"Fair Oaks Drive, Nevada County, California, 95960, United States"
-121.26,37.97,41.0,2398.0,448.0,1143.0,444.0,3.0352,INLAND,69800.0,"2425, Anita Street, Stockton, San Joaquin County, California, 95205, United States"
-117.22,34.26,16.0,8020.0,1432.0,1749.0,540.0,4.9716,INLAND,162500.0,"Lake Arrowhead Country Club, Pinehurst Drive, San Bernardino County, California, 92375, United States"
-122.47,37.51,15.0,4974.0,764.0,2222.0,774.0,6.7606,NEAR OCEAN,364300.0,"299, Del Monte Road, El Granada, San Mateo County, California, 94018, United States"
-120.84,37.53,14.0,3643.0,706.0,2070.0,697.0,3.1523,INLAND,141800.0,"Dennis Earl Elementary School, 4091, North Olive Avenue, Turlock, Stanislaus County, California, 95382, United States"
-118.02,33.94,33.0,2382.0,404.0,1339.0,389.0,5.3016,<1H OCEAN,192200.0,"California High School, 9800, Regatta Avenue, South Whittier, Los Angeles County, California, 90604, United States"
-117.68,35.6,12.0,1678.0,241.0,765.0,281.0,6.0532,INLAND,102800.0,"1382, South China Lake Boulevard, Ridgecrest, Kern County, California, 93555, United States"
-118.36,33.84,35.0,1577.0,279.0,743.0,274.0,5.7654,<1H OCEAN,343000.0,"Stor-mor Self Storage, Maricopa Street, Torrance, Los Angeles County, California, 90503, United States"
-117.31,34.07,40.0,2936.0,732.0,2024.0,676.0,2.1139,INLAND,70900.0,"655, Sperry Drive, Colton, San Bernardino County, California, 92324, United States"
-124.16,40.79,52.0,1264.0,277.0,591.0,284.0,1.7778,NEAR OCEAN,76900.0,"1951, I Street, Eureka, Humboldt County, California, 95501, United States"
-122.42,38.27,25.0,3282.0,566.0,1244.0,483.0,4.5313,NEAR BAY,308400.0,"Napa Road, Sonoma County, California, 95476, United States"
-117.92,33.63,39.0,1469.0,226.0,553.0,225.0,7.8496,<1H OCEAN,490800.0,"269, Knox Place, Cliff Haven, Costa Mesa, Orange County, California, 92627, United States"
-124.13,40.8,31.0,2152.0,462.0,1259.0,420.0,2.2478,NEAR OCEAN,81100.0,"1116, Lincoln Street, Myrtletown, Humboldt County, California, 95501, United States"
-122.02,37.59,18.0,1165.0,333.0,855.0,319.0,3.6923,NEAR BAY,213200.0,"Decoto Road, Decoto, Union City, Alameda County, California, 94587, United States"
-118.31,34.02,23.0,1703.0,397.0,1333.0,361.0,1.3187,<1H OCEAN,127100.0,"1734, West 37th Place, Exposition Park, Los Angeles, Los Angeles County, California, 90018, United States"
-120.85,37.77,20.0,651.0,157.0,421.0,151.0,2.0833,INLAND,77300.0,"324, East C Street, Oakdale, Stanislaus County, California, 95361, United States"
-122.24,38.31,38.0,1938.0,301.0,823.0,285.0,6.1089,NEAR BAY,280800.0,"Napa County, California, 94559, United States"
-121.8,37.26,26.0,1394.0,238.0,990.0,315.0,4.8862,<1H OCEAN,195000.0,"54, Calle Pintada, Casa Alondra Mobile Home Park, San Jose, Santa Clara County, California, 95111, United States"
-122.42,37.75,52.0,2163.0,607.0,1447.0,546.0,3.3555,NEAR BAY,275000.0,"1427, Valencia Street, San Francisco, California, 94114, United States"
-118.29,34.03,22.0,3313.0,1235.0,2381.0,1063.0,0.7473,<1H OCEAN,168800.0,"2712, Menlo Avenue, University Park, Exposition Park, Los Angeles, Los Angeles County, California, 90007, United States"
-117.93,33.72,17.0,4461.0,585.0,2095.0,580.0,7.6709,<1H OCEAN,319500.0,"16768, Mount Eden Circle, Fountain Valley, Orange County, California, 92708, United States"
-120.46,38.09,16.0,3758.0,715.0,1777.0,615.0,3.0,INLAND,122600.0,"4231, Camp Nine Bypass, Murphys, Calaveras County, California, 95247, United States"
-117.75,33.64,9.0,2499.0,492.0,1111.0,542.0,5.5342,<1H OCEAN,182300.0,"San Diego Creek Trail, Los Olivos, Irvine, Orange County, California, 92637, United States"
-116.86,33.05,17.0,9044.0,1689.0,5030.0,1596.0,3.6348,<1H OCEAN,164500.0,"244, Aqua Lane, Ramona, San Diego County, California, 92065, United States"
-117.28,34.26,18.0,3895.0,,1086.0,375.0,3.3672,INLAND,133600.0,"Gunther Road, Crestline, San Bernardino County, California, 92322, United States"
-120.99,39.22,16.0,1497.0,275.0,737.0,243.0,2.8942,INLAND,182500.0,"13175, Madrona Leaf Court, Nevada County, California, 95945, United States"
-117.89,33.61,16.0,2413.0,559.0,656.0,423.0,6.3017,<1H OCEAN,350000.0,"1099, Bayside Drive, Irvine Terrace, Newport Beach, Orange County, California, 92660, United States"
-118.21,34.07,31.0,1077.0,300.0,1198.0,274.0,2.1333,<1H OCEAN,160200.0,"3014, Baldwin Street, Lincoln Heights, Los Angeles, Los Angeles County, California, 90031, United States"
-118.39,34.23,43.0,1193.0,299.0,1184.0,320.0,2.1518,<1H OCEAN,161600.0,"8898, Telfair Avenue, Sun Valley, Los Angeles, Los Angeles County, California, 91352, United States"
-121.89,37.23,20.0,7754.0,976.0,3094.0,941.0,8.19,<1H OCEAN,361600.0,"6069, Burchell Avenue, Almaden Meadows, San Jose, Santa Clara County, California, 95120, United States"
-117.15,32.81,34.0,1629.0,318.0,900.0,282.0,3.1458,NEAR OCEAN,178300.0,"Aero Drive, Serra Mesa, San Diego, San Diego County, California, 92133, United States"
-118.18,33.86,43.0,2752.0,645.0,1674.0,614.0,3.6719,<1H OCEAN,161300.0,"5798, Lewis Avenue, North Long Beach, Long Beach, Los Angeles County, California, 90805, United States"
-119.46,35.13,46.0,2745.0,543.0,1423.0,482.0,2.1955,INLAND,26900.0,"Conley Elementary School, Rose Avenue, South Taft, Taft, Kern County, California, 93268, United States"
-121.84,37.33,26.0,1934.0,408.0,2059.0,416.0,3.6765,<1H OCEAN,163600.0,"1678, Terilyn Avenue, San Jose, Santa Clara County, California, 95122, United States"
-119.82,36.81,25.0,3305.0,551.0,1149.0,500.0,5.0698,INLAND,150900.0,"1517, West Keats Avenue, Fresno, Fresno County, California, 93711, United States"
-122.24,40.17,51.0,2378.0,584.0,1083.0,494.0,1.577,INLAND,51900.0,"Jackson Heights Elementary School, Aloha Street, Red Bluff, Tehama County, California, 96080, United States"
-121.31,37.98,47.0,3386.0,663.0,1228.0,619.0,3.0625,INLAND,141500.0,"University of the Pacific, 3601, Pacific Avenue, Stockton, San Joaquin County, California, 95211, United States"
-117.3,34.12,34.0,1127.0,275.0,971.0,249.0,2.0583,INLAND,64800.0,"759, West Orange Street, San Bernardino, San Bernardino County, California, 92410, United States"
-122.44,37.8,52.0,3257.0,735.0,1045.0,620.0,4.5523,NEAR BAY,500001.0,"2231, Chestnut Street, Marina District, San Francisco, California, 94123, United States"
-118.42,34.18,31.0,2887.0,646.0,1626.0,637.0,3.6745,<1H OCEAN,335500.0,"13176, Aetna Street, Valley Glen, Los Angeles, Los Angeles County, California, 91401, United States"
-122.53,37.87,20.0,1814.0,282.0,658.0,253.0,7.9977,NEAR BAY,400000.0,"367, Carrera Drive, Marin County, California, 94941, United States"
-116.99,33.77,7.0,10352.0,2007.0,3559.0,1689.0,2.2925,INLAND,113100.0,"1421, North Lyon Avenue, Hemet, Riverside County, California, 92543, United States"
-121.46,38.56,52.0,1878.0,393.0,722.0,381.0,3.3348,INLAND,122800.0,"3769, S Street, Elmhurst, Sacramento, Sacramento County, California, 95816, United States"
-120.64,36.99,23.0,2363.0,449.0,1168.0,410.0,2.2794,INLAND,75700.0,"2883, Evelyn Lane, Dos Palos, Merced County, California, 93620, United States"
-122.24,38.25,33.0,213.0,36.0,91.0,33.0,4.9167,NEAR BAY,187500.0,"Napa County, California, United States"
-117.23,33.79,17.0,3318.0,759.0,2016.0,673.0,2.2969,INLAND,89300.0,"Calle Salsipuedes, Perris, Riverside County, California, 92571, United States"
-117.53,33.88,22.0,2855.0,667.0,2453.0,624.0,3.1312,INLAND,91000.0,"1857, Sampson Street, Corona, Riverside County, California, 92879, United States"
-117.69,34.11,16.0,2427.0,522.0,794.0,491.0,2.6929,INLAND,119300.0,"Cable Airport, Airport Drive, College Heights, Upland, San Bernardino County, California, 91786, United States"
-121.62,37.61,26.0,1786.0,306.0,771.0,279.0,5.7239,INLAND,430600.0,"Alameda County, California, United States"
-118.21,34.12,41.0,1904.0,514.0,1666.0,498.0,3.6845,<1H OCEAN,175800.0,"4880, Buchanan Street, Highland Park, Los Angeles, Los Angeles County, California, 90042, United States"
-118.89,34.33,23.0,366.0,62.0,265.0,66.0,3.125,<1H OCEAN,375000.0,"Buena Vista Street, Epworth, Ventura County, California, 93021, United States"
-118.77,34.26,26.0,3038.0,468.0,1825.0,468.0,5.6385,<1H OCEAN,196900.0,"1387, Arcane Street, Simi Valley, Ventura County, California, 93065, United States"
-121.22,39.11,14.0,1405.0,269.0,660.0,228.0,3.0804,INLAND,156800.0,"Nevada County, California, United States"
-117.79,35.21,4.0,2.0,2.0,6.0,2.0,2.375,INLAND,137500.0,"North Pebble Boulevard, California City, Kern County, California, 93504, United States"
-118.27,34.06,33.0,1416.0,686.0,2013.0,614.0,1.9818,<1H OCEAN,208300.0,"415, South Burlington Avenue, Westlake South, Westlake, Los Angeles, Los Angeles County, California, 90057, United States"
-116.94,32.84,32.0,1607.0,253.0,778.0,262.0,4.5278,<1H OCEAN,166300.0,"8945, Paradise Park Drive, Riverview Farms, Lakeside, San Diego County, California, 92040, United States"
-120.04,36.96,23.0,2126.0,506.0,2091.0,491.0,1.3713,INLAND,51800.0,"1498, Sunrise Avenue, Madera, Madera County, California, 93638, United States"
-118.09,33.75,32.0,6239.0,974.0,2615.0,950.0,6.6188,NEAR OCEAN,380000.0,"918, Heron Circle, Seal Beach, Orange County, California, 90740, United States"
-118.17,33.9,12.0,3653.0,993.0,3215.0,854.0,2.8681,<1H OCEAN,114200.0,"7332, Exeter Street, Paramount, Los Angeles County, California, 90723, United States"
-114.62,33.62,26.0,18.0,3.0,5.0,3.0,0.536,INLAND,275000.0,"West Chanslor Way, Riverside County, California, 92225, United States"
-121.84,39.72,52.0,1457.0,389.0,802.0,342.0,0.9566,INLAND,69000.0,"Little Chico Creek, Barber, Chico, Butte County, California, 95928, United States"
-122.17,37.75,48.0,1751.0,390.0,935.0,349.0,1.4375,NEAR BAY,90000.0,"9222, Plymouth Street, Elmhurst, Oakland, Alameda County, California, 94621, United States"
-118.37,34.16,25.0,2450.0,618.0,1054.0,578.0,3.6375,<1H OCEAN,262500.0,"10951, Huston Street, North Hollywood, Los Angeles, Los Angeles County, California, 91601, United States"
-118.38,34.14,40.0,1965.0,354.0,666.0,357.0,6.0876,<1H OCEAN,483800.0,"11465, Ventura Boulevard, Studio City, Los Angeles, Los Angeles County, California, 91604, United States"
-120.83,37.51,34.0,3078.0,477.0,1226.0,487.0,4.601,INLAND,150000.0,"1999, Redhawk Circle, Turlock, Stanislaus County, California, 95382, United States"
-121.5,38.5,29.0,2049.0,330.0,787.0,309.0,3.7414,INLAND,98500.0,"Bing Maloney Golf Club, 6801, Freeport Boulevard, Golf Course Terrace, South Land Park, Sacramento, Sacramento County, California, 95822, United States"
-117.31,34.1,28.0,2899.0,755.0,2406.0,655.0,1.5208,INLAND,69500.0,"141, South L Street, San Bernardino, San Bernardino County, California, 92410, United States"
-121.83,37.2,6.0,3694.0,574.0,1554.0,527.0,6.8333,<1H OCEAN,348000.0,"1039, Kiser Drive, San Jose, Santa Clara County, California, 95120, United States"
